,week,name,pos,type,team,buy_price,sell_price,xP,xMin,squad,lineup,bench,captain,vicecaptain,transfer_in,transfer_out,multiplier,xp_cont
9,1,Ramsdale,GKP,1,Arsenal,5.0,0,3.66,90,1,1,-1,0,0,1,0,1,3.66
8,1,Walker,DEF,2,Man City,5.0,0,3.49,77,1,1,-1,0,0,1,0,1,3.49
5,1,Dias,DEF,2,Man City,6.0,0,3.83,79,1,1,-1,0,0,1,0,1,3.83
6,1,James,DEF,2,Chelsea,6.0,0,4.41,77,1,1,-1,0,0,1,0,1,4.41
3,1,Robertson,DEF,2,Liverpool,7.0,0,4.9,84,1,1,-1,0,0,1,0,1,4.9
2,1,Alexander-Arnold,DEF,2,Liverpool,7.5,0,5.68,87,1,1,-1,0,0,1,0,1,5.68
4,1,Saka,MID,3,Arsenal,8.0,0,4.12,75,1,1,-1,0,0,1,0,1,4.12
0,1,Salah,MID,3,Liverpool,13.0,0,6.8,77,1,1,-1,1,0,1,0,2,13.6
10,1,Mitrović,FWD,4,Fulham,6.5,0,3.29,80,1,1,-1,0,0,1,0,1,3.29
7,1,Toney,FWD,4,Brentford,7.0,0,3.96,86,1,1,-1,0,0,1,0,1,3.96
1,1,Haaland,FWD,4,Man City,11.5,0,5.7,79,1,1,-1,0,1,1,0,1,5.7
12,1,Ward,GKP,1,Leicester,4.0,0,2.21,53,1,0,0,0,0,1,0,0,0.0
11,1,Andreas,MID,3,Fulham,4.5,0,2.59,75,1,0,1,0,0,1,0,0,0.0
13,1,Reed,MID,3,Fulham,4.5,0,2.0,74,1,0,2,0,0,1,0,0,0.0
14,1,Colback,MID,3,Nott'm Forest,4.5,0,1.61,52,1,0,3,0,0,1,0,0,0.0
24,2,Ramsdale,GKP,1,Arsenal,0.0,0,3.68,86,1,1,-1,0,0,0,0,1,3.68
21,2,James,DEF,2,Chelsea,0.0,0,3.64,70,1,1,-1,0,0,0,0,1,3.64
23,2,Walker,DEF,2,Man City,0.0,0,4.52,76,1,1,-1,0,0,0,0,1,4.52
17,2,Alexander-Arnold,DEF,2,Liverpool,0.0,0,5.03,74,1,1,-1,0,0,0,0,1,5.03
20,2,Dias,DEF,2,Man City,0.0,0,5.17,81,1,1,-1,0,0,0,0,1,5.17
18,2,Robertson,DEF,2,Liverpool,0.0,0,5.19,86,1,1,-1,0,0,0,0,1,5.19
19,2,Saka,MID,3,Arsenal,0.0,0,4.45,73,1,1,-1,0,0,0,0,1,4.45
15,2,Salah,MID,3,Liverpool,0.0,0,7.08,81,1,1,-1,1,0,0,0,2,14.16
25,2,Mitrović,FWD,4,Fulham,0.0,0,3.77,75,1,1,-1,0,0,0,0,1,3.77
22,2,Toney,FWD,4,Brentford,0.0,0,4.21,85,1,1,-1,0,0,0,0,1,4.21
16,2,Haaland,FWD,4,Man City,0.0,0,7.05,74,1,1,-1,0,1,0,0,1,7.05
27,2,Ward,GKP,1,Leicester,0.0,0,2.69,75,1,0,0,0,0,0,0,0,0.0
26,2,Andreas,MID,3,Fulham,0.0,0,2.61,63,1,0,1,0,0,0,0,0,0.0
28,2,Reed,MID,3,Fulham,0.0,0,2.08,69,1,0,2,0,0,0,0,0,0.0
29,2,Colback,MID,3,Nott'm Forest,0.0,0,1.44,43,1,0,3,0,0,0,0,0,0.0
39,3,Ramsdale,GKP,1,Arsenal,0.0,0,3.88,89,1,1,-1,0,0,0,0,1,3.88
35,3,Dias,DEF,2,Man City,0.0,0,3.71,73,1,1,-1,0,0,0,0,1,3.71
33,3,Robertson,DEF,2,Liverpool,0.0,0,3.74,81,1,1,-1,0,0,0,0,1,3.74
32,3,Alexander-Arnold,DEF,2,Liverpool,0.0,0,3.95,77,1,1,-1,0,0,0,0,1,3.95
36,3,James,DEF,2,Chelsea,0.0,0,4.49,81,1,1,-1,0,0,0,0,1,4.49
41,3,Andreas,MID,3,Fulham,0.0,0,3.19,69,1,1,-1,0,0,0,0,1,3.19
34,3,Saka,MID,3,Arsenal,0.0,0,4.52,75,1,1,-1,0,0,0,0,1,4.52
30,3,Salah,MID,3,Liverpool,0.0,0,5.34,78,1,1,-1,1,0,0,0,2,10.68
40,3,Mitrović,FWD,4,Fulham,0.0,0,4.25,73,1,1,-1,0,0,0,0,1,4.25
37,3,Toney,FWD,4,Brentford,0.0,0,4.33,83,1,1,-1,0,0,0,0,1,4.33
31,3,Haaland,FWD,4,Man City,0.0,0,5.21,72,1,1,-1,0,1,0,0,1,5.21
42,3,Ward,GKP,1,Leicester,0.0,0,2.43,56,1,0,0,0,0,0,0,0,0.0
38,3,Walker,DEF,2,Man City,0.0,0,3.11,67,1,0,1,0,0,0,0,0,0.0
43,3,Reed,MID,3,Fulham,0.0,0,2.03,62,1,0,2,0,0,0,0,0,0.0
44,3,Colback,MID,3,Nott'm Forest,0.0,0,1.7,54,1,0,3,0,0,0,0,0,0.0
54,4,Ramsdale,GKP,1,Arsenal,0.0,0,4.06,88,1,1,-1,0,0,0,0,1,4.06
53,4,Walker,DEF,2,Man City,0.0,0,3.92,72,1,1,-1,0,0,0,0,1,3.92
50,4,Dias,DEF,2,Man City,0.0,0,4.24,73,1,1,-1,0,0,0,0,1,4.24
51,4,James,DEF,2,Chelsea,0.0,0,4.52,74,1,1,-1,0,0,0,0,1,4.52
47,4,Alexander-Arnold,DEF,2,Liverpool,0.0,0,5.69,75,1,1,-1,0,0,0,0,1,5.69
48,4,Robertson,DEF,2,Liverpool,0.0,0,5.92,88,1,1,-1,0,0,0,0,1,5.92
49,4,Saka,MID,3,Arsenal,0.0,0,4.75,68,1,1,-1,0,0,0,0,1,4.75
45,4,Salah,MID,3,Liverpool,0.0,0,7.66,78,1,1,-1,1,0,0,0,2,15.32
55,4,Mitrović,FWD,4,Fulham,0.0,0,3.19,76,1,1,-1,0,0,0,0,1,3.19
52,4,Toney,FWD,4,Brentford,0.0,0,4.63,82,1,1,-1,0,0,0,0,1,4.63
46,4,Haaland,FWD,4,Man City,0.0,0,6.2,73,1,1,-1,0,1,0,0,1,6.2
57,4,Ward,GKP,1,Leicester,0.0,0,1.95,56,1,0,0,0,0,0,0,0,0.0
56,4,Andreas,MID,3,Fulham,0.0,0,2.11,57,1,0,1,0,0,0,0,0,0.0
58,4,Reed,MID,3,Fulham,0.0,0,1.69,57,1,0,2,0,0,0,0,0,0.0
59,4,Colback,MID,3,Nott'm Forest,0.0,0,1.32,41,1,0,3,0,0,0,0,0,0.0
69,5,Ramsdale,GKP,1,Arsenal,0.0,0,3.69,85,1,1,-1,0,0,0,0,1,3.69
68,5,Walker,DEF,2,Man City,0.0,0,4.24,71,1,1,-1,0,0,0,0,1,4.24
66,5,James,DEF,2,Chelsea,0.0,0,4.32,74,1,1,-1,0,0,0,0,1,4.32
65,5,Dias,DEF,2,Man City,0.0,0,4.72,74,1,1,-1,0,0,0,0,1,4.72
63,5,Robertson,DEF,2,Liverpool,0.0,0,5.01,84,1,1,-1,0,0,0,0,1,5.01
62,5,Alexander-Arnold,DEF,2,Liverpool,0.0,0,5.18,77,1,1,-1,0,0,0,0,1,5.18
64,5,Saka,MID,3,Arsenal,0.0,0,4.9,80,1,1,-1,0,0,0,0,1,4.9
60,5,Salah,MID,3,Liverpool,0.0,0,6.3,73,1,1,-1,0,1,0,0,1,6.3
67,5,Toney,FWD,4,Brentford,0.0,0,3.63,76,1,1,-1,0,0,0,0,1,3.63
70,5,Mitrović,FWD,4,Fulham,0.0,0,4.31,78,1,1,-1,0,0,0,0,1,4.31
61,5,Haaland,FWD,4,Man City,0.0,0,7.54,77,1,1,-1,1,0,0,0,2,15.08
72,5,Ward,GKP,1,Leicester,0.0,0,2.47,63,1,0,0,0,0,0,0,0,0.0
71,5,Andreas,MID,3,Fulham,0.0,0,2.66,59,1,0,1,0,0,0,0,0,0.0
73,5,Reed,MID,3,Fulham,0.0,0,2.16,70,1,0,2,0,0,0,0,0,0.0
74,5,Colback,MID,3,Nott'm Forest,0.0,0,1.14,41,1,0,3,0,0,0,0,0,0.0
